name,owner,total_of_prs
freeCodeCamp,freeCodeCamp,34287
EbookFoundation,free-programming-books,9562
sindresorhus,awesome,1958
jwasham,coding-interview-university,917
996icu,996.ICU,1964
public-apis,public-apis,3048
kamranahmedse,developer-roadmap,2607
donnemartin,system-design-primer,498
codecrafters-io,build-your-own-x,343
facebook,react,14017
vuejs,vue,2458
vinta,awesome-python,1843
tensorflow,tensorflow,23476
trekhleb,javascript-algorithms,699
getify,You-Dont-Know-JS,882
TheAlgorithms,Python,8977
CyC2018,CS-Notes,608
twbs,bootstrap,14880
ohmyzsh,ohmyzsh,7000
torvalds,linux,761
flutter,flutter,48295
awesome-selfhosted,awesome-selfhosted,3034
github,gitignore,4276
microsoft,vscode,24950
Significant-Gravitas,AutoGPT,2801
ossu,computer-science,405
jackfrued,Python-100-Days,326
jlevy,the-art-of-command-line,576
airbnb,javascript,1485
Snailclimb,JavaGuide,1181
ytdl-org,youtube-dl,4876
labuladong,fucking-algorithm,465
practical-tutorials,project-based-learning,339
30-seconds,30-seconds-of-code,1594
golang,go,3385
huggingface,transformers,13588
vercel,next.js,18409
facebook,react-native,14533
avelino,awesome-go,4396
trimstray,the-book-of-secret-knowledge,244
electron,electron,20671
AUTOMATIC1111,stable-diffusion-webui,2461
d3,d3,1156
justjavac,free-programming-books-zh_CN,457
kubernetes,kubernetes,77130
axios,axios,1468
facebook,create-react-app,4223
nodejs,node,31821
microsoft,PowerToys,4780
yangshun,tech-interview-handbook,522
mrdoob,three.js,14891
microsoft,TypeScript,16767
goldbergyoni,nodebestpractices,946
Genymobile,scrcpy,393
denoland,deno,11288
f,awesome-chatgpt-prompts,527
microsoft,terminal,3886
angular,angular,25315
mui,material-ui,20439
ant-design,ant-design,15511
rust-lang,rust,66661
ryanmcdermott,clean-code-javascript,279
puppeteer,puppeteer,4792
PanJiaChen,vue-element-admin,579
iluwatar,java-design-patterns,1806
storybookjs,storybook,11240
nvbn,thefuck,678
animate-css,animate.css,804
papers-we-love,papers-we-love,510
microsoft,Web-Dev-For-Beginners,810
521xueweihan,HelloGitHub,33
godotengine,godot,37283
gothinkster,realworld,726
tensorflow,models,3760
ripienaar,free-for-dev,2989
laravel,laravel,4600
MisterBooo,LeetCodeAnimation,76
django,django,17353
mtdvio,every-programmer-should-know,164
sveltejs,svelte,3767
tailwindlabs,tailwindcss,2363
fatedier,frp,730
tonsky,FiraCode,183
FortAwesome,Font-Awesome,676
gin-gonic,gin,1632
doocs,advanced-java,118
pytorch,pytorch,74505
bitcoin,bitcoin,19800
opencv,opencv,14267
nvm-sh,nvm,1044
macrozheng,mall,115
Hack-with-Github,Awesome-Hacking,97
neovim,neovim,15222
spring-projects,spring-boot,5902
vuejs,awesome-vue,3820
tauri-apps,tauri,3836
gohugoio,hugo,4684
iptv-org,iptv,6478
typicode,json-server,373
florinpop17,app-ideas,653
moby,moby,24140
thedaviddias,Front-End-Checklist,295
GrowingGit,GitHub-Chinese-Top-Charts,18
langchain-ai,langchain,7065
netdata,netdata,8360
elastic,elasticsearch,67636
hakimel,reveal.js,1038
oven-sh,bun,2302
pallets,flask,2473
jaywcjlove,awesome-mac,910
apple,swift,51488
base-org,node,71
tiangolo,fastapi,2744
webpack,webpack,6473
home-assistant,core,59554
Fndroid,clash_for_windows_pkg,15
coder,code-server,1726
mermaid-js,mermaid,2184
expressjs,express,1206
chartjs,Chart.js,3746
redis,redis,6198
protocolbuffers,protobuf,8531
josephmisiti,awesome-machine-learning,865
Developer-Y,cs-video-courses,175
resume,resume.github.com,183
CompVis,stable-diffusion,140
kdn251,interviews,167
vitejs,vite,5004
nestjs,nest,7325
anuraghazra,github-readme-stats,1971
twitter,the-algorithm,513
reduxjs,redux,2472
atom,atom,5280
keras-team,keras,6665
leonardomso,33-js-concepts,385
adam-p,markdown-here,82
socketio,socket.io,842
angular,angular.js,7999
ansible,ansible,49993
bregman-arie,devops-exercises,338
enaqx,awesome-react,1265
DopplerHQ,awesome-interview-questions,228
xingshaocheng,architect-awesome,79
yt-dlp,yt-dlp,2279
supabase,supabase,7758
fighting41love,funNLP,24
h5bp,Front-end-Developer-Interview-Questions,672
kelseyhightower,nocode,610
jquery,jquery,2904
MunGell,awesome-for-beginners,1196
lodash,lodash,1370
grafana,grafana,42039
shadowsocks,shadowsocks-windows,487
lydiahallie,javascript-questions,502
strapi,strapi,9112
excalidraw,excalidraw,4131
apache,echarts,1714
Anduin2017,HowToCook,653
awesomedata,awesome-public-datasets,338
python,cpython,45503
scikit-learn,scikit-learn,16273
hoppscotch,hoppscotch,2039
microsoft,playwright,12924
chrislgarry,Apollo-11,505
h5bp,html5-boilerplate,1638
syncthing,syncthing,3912
junegunn,fzf,792
apache,superset,14253
gatsbyjs,gatsby,21941
TheAlgorithms,Java,3681
3b1b,manim,792
tesseract-ocr,tesseract,1555
microsoft,ML-For-Beginners,443
ElemeFE,element,5076
rails,rails,32769
bradtraversy,design-resources-for-developers,1254
ventoy,Ventoy,440
nomic-ai,gpt4all,484
spring-projects,spring-framework,4452
sindresorhus,awesome-nodejs,1099
azl397985856,leetcode,308
sdmg15,Best-websites-a-programmer-should-visit,1671
scutan90,DeepLearning-500-questions,341
swisskyrepo,PayloadsAllTheThings,597
Eugeny,tabby,3913
ocornut,imgui,1177
remix-run,react-router,3032
necolas,normalize.css,390
obsproject,obs-studio,6002
Semantic-Org,Semantic-UI,879
psf,requests,2438
prometheus,prometheus,7354
caddyserver,caddy,2118
d2l-ai,d2l-zh,1295
fffaraz,awesome-cpp,820
ionic-team,ionic-framework,6909
prakhar1989,awesome-courses,265
localstack,localstack,4539
ageitgey,face_recognition,222
danielmiessler,SecLists,654